Id str1 dip1 rk1 mag prof long lat
1 25 75 -180 2.3 6.4 5.8775 45.1555
2 80 85 -180 2.8 10.9 5.6843 45.6227
3 210 70 160 2.1 6.3 6.0695 45.3905
4 130 75 20 2.1 6.3 6.0695 45.3905
5 85 70 170 1.5 6.1 5.5462 44.9398
6 225 75 160 1.8 2.8 5.8825 45.1778
7 5 70 10 2.1 7 5.7205 45.3758
8 95 70 180 2.1 7 5.7205 45.3758
9 360 90 10 2 0.5 5.719 45.3865
10 355 45 50 2.4 6.5 6.1185 45.5465
11 40 40 50 1.6 7 6.1273 45.5502
12 305 90 20 2.5 2.6 5.9123 45.2077
13 120 70 -10 1.8 9.1 5.9532 45.2388
14 300 90 0 2 9.1 5.9568 45.2537
15 50 60 -160 1.5 9.9 5.9295 45.1917
16 120 80 20 2.2 3.9 5.7248 45.0382
17 155 75 50 1.3 7.2 5.6932 44.9593
18 20 40 30 1.4 11.6 6.1343 45.5438
19 35 65 -170 3.5 2.9 5.7467 45.0248
20 300 90 0 1.8 2 5.7542 45.0225
21 155 70 -10 1.9 2.4 5.7513 45.023
22 230 80 150 2.4 2.5 5.7488 45.0245
23 80 50 -170 1.6 2.5 5.7502 45.0242
24 320 90 20 2 0.8 5.7362 45.4048
25 80 75 170 2.1 2.6 5.7448 45.0262
26 65 55 140 2.4 7.2 6.1365 45.5373
27 45 40 120 2.4 9.7 5.8802 45.185
